序号,报告页,疑似率,字符数,章节,源文件,片段摘录
1,2,81.05%,364,摘要,chapters/abstract.tex,固定任务上改善结果，但其效果依赖已有样例和适配数据，数据构建、维护与更新成本较 高；当任务形式变化、外部知识更新或跨基准迁移时，泛化能力仍受到限制。 针对上述问题，本文提出基于规划反馈的多智能体图推理协同求解框架 PlanGraph。该框架将图推 理过程拆分为规划生成、规划引导检索、执行验证与反馈修复等相互衔接的阶段。具体而言，问题 智能体和规划智能体首先对自然语言问题、图结构描述和输出要求进行解析，并生成伪代码形式的 规划结果，用于显式记录任务目标、算法步骤和关键约束。随后，检索智能体不再直接依据原始问 题检索，而是利用规划结果从图算法文档知识库中获取相关 API、算法说明和实现知识，并在检索结 果不足时进行片段精炼或补充检索。编码智能体根据规划与检索结果生成可执行程序，再通过运行 测试、错误反馈、推理修正和有界重生成形成验证闭环。通过这种设计，规划在前向求解过程中约 束知识调用和代码生成，反馈则在反向过程中定位并修正实现偏差、约束遗漏和输出不一致问题 ，从而提高程序化图推理的稳定性、正确性和可解释性。
2,3,78.41%,229,第1章,chapters/chapter1.tex,and interpretable implementation path for collaborative solving of complex structured problems with LLMs and graph algorithm tools. 绪论 研究背景与意义图结构可以刻画实体之间的连接关系及其相互作用，因此常用于交通网络 、社交网络、生物分子网络、知识图谱和软件依赖分析等场景。对图结构进行推理和计算 ，是图论、数据挖掘与人工智能研究中的基础问题。最短路径、连通性判定、匹配、最大 团、最小顶点覆盖以及旅行商问题等任务，既有清晰的图论定义和算法基础，也对应路径 规划、网络分析、资源调度和组合优化等实际应用需求。 近年来，大语言模型在语义理解、步骤化推理和程序生成方面表现出较强能力。Transformer架构、 少样本学习、指令微调以及开源基础模型的发展，使语言模型逐渐从文本建模工具扩展为能够参与 复杂任务求解的通用模型。在链式思维提示、自一致性采样、树状思维等方法的推动下，语言模型
3,4,82.42%,443,第1章,chapters/chapter1.tex,在数学推理、代码生成和工具调用任务中已经展现出较好的问题分解与执行辅助能力。基于这些能 力，研究者开始将大语言模型用于图推理任务，尝试让模型根据自然语言问题理解图结构、选择合 适算法，并生成相应的求解过程或程序。 图1.1给出了本文所研究图推理任务的基本流程：系统首先接收自然语言形式的任务描述 ，再围绕给定图结构执行最短路径、最大团、旅行商等不同类型的图推理任务，最终生成 目标答案。与传统纯文本问答不同，这类任务的关键在于如何把自然语言目标准确映射到 可执行的图算法流程上。 图推理与一般文本推理存在本质差异。图结构强调节点、边及其拓扑关系，输入信息通常 由离散的结构对象组成，而非自然语言中的线性语义序列。为了适配语言模型，大多数现 有方法需要将图序列化为文本，再让模型直接进行端到端推理或生成代码。随着图规模增 大、边属性变复杂以及约束条件增多，这种串行化表示会显著增加模型理解负担，导致拓 扑关系遗漏、约束违反和答案幻觉等问题。 针对这一挑战，本文关注的并非一般性地描述图推理任务难度，而是大语言模型在图推理求解中面 临的流程耦合问题：任务理解、算法选择、知识调用、代码实现和正确性验证常被压缩在一次生成 过程中，任何一个中间环节出现偏差，都可能造成最终答案错误或程序不可执行。对于图推理这类 同时依赖结构理解、算法步骤和约束满足的任务，这种耦合会放大错误传播风险。 因此，本文关注大语言模型在图推理任务中的可靠求解问题，重点讨论如何在不同类型图任务之间 保持较好的泛化能力。本文认为，单纯延长推理链，或直接更换能力更强的基础模型，并不能稳定 避免图结构遗漏、算法选择偏差和程序执行错误。对于图推理任务而言，更需要在自然语言任务描 述和可执行程序之间加入一个可检查的中间层，用来记录任务目标、算法步骤和约束条件。在此基 础上，规划结果用于约束后续的知识检索与代码生成，执行反馈则用于反向定位并修正程序实现中 的偏差和遗漏。基于这一思路，本文构建了面向图推理任务的多智能体协同求解框架，将规划的前 向约束作用与反馈的反向修正作用结合起来。
4,5,79.30%,248,第1章,chapters/chapter1.tex,中间步骤，往往比直接生成最终答案更稳定。 除文本提示层面的改进外，另一条研究路线是将语言模型接入外部工具、执行环境或程序系统。 PAL将自然语言问题转化为程序生成与执行问题，使模型负责生成求解逻辑，而把具体计算交给解释 器完成。Toolformer和 ToolLLM 更强调模型对外部 API的识别、选择和调用能力，使语言模型可以 在生成过程中主动利用外部功能。Gorilla和 AlphaCode 则分别从 API对齐和复杂程序生成角度说明 ，语言模型在外部环境支持下可以完成更复杂的任务。这类研究的共同特点是：模型不再被要求独 立完成所有计算细节，而是通过生成程序、调用工具或访问外部知识，将部分任务交给更适合的执 行模块完成。
5,5,78.55%,245,第1章,chapters/chapter1.tex,求解逻辑，而把具体计算交给解释 器完成。Toolformer和 ToolLLM 更强调模型对外部 API的识别、选择和调用能力，使语言模型可以 在生成过程中主动利用外部功能。Gorilla和 AlphaCode 则分别从 API对齐和复杂程序生成角度说明 ，语言模型在外部环境支持下可以完成更复杂的任务。这类研究的共同特点是：模型不再被要求独 立完成所有计算细节，而是通过生成程序、调用工具或访问外部知识，将部分任务交给更适合的执 行模块完成。 79.30% (248字符) 从技术路线来看，大语言模型的推理增强大致经历了提示增强、工具增强以及过程控制与系统协同 三个阶段。早期方法主要通过提示设计和采样策略，引导模型展开中间推理过程；随后，研究重点 逐渐转向程序执行、知识检索和API调用，使精确计算和外部知识能够进入模型求解链路；近期工作 则更关注推理过程是否可记录、可检查和可回退，尝试把规划、行动、反馈与修复组织成一个连续 的求解过程。因此，复杂任务能力的提升并不只取决于模型生成更长的推理文本，还取决于模型能 否在不同阶段完成合适的子任务，并与外部执行能力形成稳定配合。
6,5,79.11%,279,第1章,chapters/chapter1.tex,8字符) 从技术路线来看，大语言模型的推理增强大致经历了提示增强、工具增强以及过程控制与系统协同 三个阶段。早期方法主要通过提示设计和采样策略，引导模型展开中间推理过程；随后，研究重点 逐渐转向程序执行、知识检索和API调用，使精确计算和外部知识能够进入模型求解链路；近期工作 则更关注推理过程是否可记录、可检查和可回退，尝试把规划、行动、反馈与修复组织成一个连续 的求解过程。因此，复杂任务能力的提升并不只取决于模型生成更长的推理文本，还取决于模型能 否在不同阶段完成合适的子任务，并与外部执行能力形成稳定配合。 78.55% (245字符) 需要注意的是，上述推理增强方法多数面向自然语言问答、数学推理或通用代码生成任务。此类任 务的输入通常可以被处理为线性文本，输出形式也多为答案、程序或行动序列。图推理任务则不同 ，其输入包含节点、边、属性和约束条件，求解过程还需要满足明确的拓扑关系。若仅扩展一般思 维链，模型可能在中间步骤中遗漏节点关系、边属性或约束条件；若只依赖工具调用，也可能出现 检索到的知识、选择的算法和最终程序实现不一致的问题。因此，已有推理增强研究虽然为本文提 供了分阶段求解、工具调用和过程验证方面的方法基础，但在高约束图推理场景中，还需要进一步 引入面向图结构的中间表示和可执行验证机制。
7,5,78.84%,222,第1章,chapters/chapter1.tex,扩展一般思 维链，模型可能在中间步骤中遗漏节点关系、边属性或约束条件；若只依赖工具调用，也可能出现 检索到的知识、选择的算法和最终程序实现不一致的问题。因此，已有推理增强研究虽然为本文提 供了分阶段求解、工具调用和过程验证方面的方法基础，但在高约束图推理场景中，还需要进一步 引入面向图结构的中间表示和可执行验证机制。 79.11% (279字符) 图推理任务上的大语言模型研究针对图推理问题，近年来出现了一批专门的评测基准。NLGraph关 注自然语言条件下的经典图算法任务，GraphWiz面向指令式图算法推理，GraphArena、 GraphInstruct 与 LLM4DyG则分别从经典图问题、指令跟随场景和动态图场景评估模型能力。相关 方法研究也开始从图理解对齐、图序列化表达和组合优化思维生成等角度系统推动该方向发展。这 些基准与方法研究普遍表明，尽管大模型在小规模样例和规则明确的问题上能够取得一定效果，但 在结构复杂、约束严格或需要组合优化的场景下，其性能仍显著受限。
8,5,78.05%,202,第1章,chapters/chapter1.tex,nstruct 与 LLM4DyG则分别从经典图问题、指令跟随场景和动态图场景评估模型能力。相关 方法研究也开始从图理解对齐、图序列化表达和组合优化思维生成等角度系统推动该方向发展。这 些基准与方法研究普遍表明，尽管大模型在小规模样例和规则明确的问题上能够取得一定效果，但 在结构复杂、约束严格或需要组合优化的场景下，其性能仍显著受限。 78.84% (222字符) 现有图推理增强研究可以概括为三种思路。第一种思路侧重于增强模型的图结构感知能力，通常通 过任务改写、结构化提示或面向图任务的指令微调，使模型更容易识别节点、边及其拓扑关系。第 二种思路侧重于程序化求解，即把自然语言中的图任务转换为Python 程序，再借助 NetworkX等图 计算库完成具体计算。第三种思路则引入多智能体协作机制，让不同角色分别负责规划、检索、代 码生成、评审和修复等环节，以减少单一模型一次性完成全部步骤时产生的错误。
9,6,79.15%,281,第1章,chapters/chapter1.tex,一步引入时间演化和动态图约束，用于考察模型对动态关系的处理能力。近期围绕图推理 泛化、复杂图理解、大规模图数据编码和强化学习式图推理的研究也表明，图推理评测不 能只看最终答案是否正确，还需要同时关注输入解析、图构建、算法选择、代码执行和结 果验证等环节。因此，图推理更接近一个由多个子过程共同组成的系统性任务，而不是单 一的文本推理能力测试。 从已有工作的演进过程看，图推理增强方法已经逐渐形成结构感知增强、程序化求解和多智能体协 作三条路线。结构感知类方法主要试图缓解语言模型对图结构表示不足的问题；程序化方法通过调 用成熟图计算库来提高结果的可执行性和确定性；多智能体方法则把任务理解、规划组织、知识获 取和错误修复拆分给不同角色完成。这些研究说明，图推理研究的重点正在从单纯提升模型的结构 理解能力，转向构建更加稳定的图任务求解流程。不过，在中间规划表示如何构造、检索到的知识 如何与算法步骤保持一致，以及执行错误如何形成有效反馈闭环等方面，现有方法仍有进一步改进 空间。这些问题也是下一小节需要继续讨论的重点。
10,7,82.40%,441,第1章,chapters/chapter1.tex,然语言问题生成最终程序或答案，而是将整个求解过程拆分为规划生成、规划引导检索与 检索质量评估、执行验证与反馈推理三个阶段。 在规划生成阶段，系统首先从原始问题中识别任务目标、输入图信息以及最终输出要求，并由规划 智能体生成结构化伪代码。这里的伪代码并不是完整程序，而是对算法意图、求解顺序和关键约束 的概括，用来描述后续代码生成需要遵循的主要操作。进入知识检索阶段后，系统不再直接使用原 始问题文本作为查询，而是依据规划阶段得到的伪代码，从图算法文档知识库中检索相关API说明、 输入输出约束和使用示例。这样可以使检索内容更接近实际求解步骤，减少与当前任务无关的知识 片段对代码生成的干扰。在执行验证与反馈推理阶段，编码智能体结合规划结果和检索知识生成可 执行代码；系统随后在小样本图上进行单元测试，用于检查程序的基本正确性。若执行过程中出现 报错、输出格式异常或结果不满足约束，推理智能体会根据反馈信息进行修正；若多轮局部修正仍 无法通过验证，系统则触发重新生成机制。通过这种局部修正与重生成结合的双层闭环，规划在前 向过程中约束检索和代码生成，执行反馈则在反向过程中修正实现偏差、知识不匹配和约束遗漏 ，最终得到更可靠的答案。
